customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;target90
41191;2008-12-01;0;0;9;2008-12-01;0;2;2;0;58;;1;;2;2;0;1;0;0;2008-12-03;2008-12-02;737;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
38860;2008-12-16;1;0;4;2008-12-16;0;1;1;1;34;;0;;2;2;0;0;0;0;2008-12-30;2009-02-03;368;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
61917;2008-08-19;0;0;12;2008-08-19;0;1;0;0;51;;0;;1;1;0;0;0;1;2008-09-02;2008-08-28;47;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
40647;2008-06-16;1;0;8;2008-06-16;0;1;0;0;25;;0;;3;2;0;0;0;0;2008-06-17;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1347;2008-08-08;0;0;1;2008-08-08;0;1;1;1;41;;0;BR;4;2;0;0;0;0;2008-08-11;2008-08-08;843;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
4686;2008-08-10;0;0;12;2008-08-10;0;1;0;0;95;;0;BQ;3;3;0;0;0;1;2008-08-12;2008-08-11;1218;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0
28710;2008-12-21;0;0;12;2008-12-21;0;3;1;1;78;;0;;4;1;0;1;0;0;2008-12-23;2008-12-22;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
910;2008-09-04;0;0;9;2008-09-04;0;3;1;1;77;;0;;4;2;0;1;0;0;2008-09-05;2008-09-04;238;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
50115;2008-06-25;0;0;12;2008-06-24;0;1;3;0;86;;1;;4;4;0;0;0;0;2008-06-26;2008-06-27;1577;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
52153;2008-08-02;0;0;12;2008-08-02;1;1;0;0;97;;0;;4;2;0;0;0;0;2008-08-05;2008-08-04;1237;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
